id;start_date;end_date;language
1;2020-12-08T09:25:38;2020-12-08T07:15:53;SPANISH
2;2020-12-07T14:15:49;2020-12-08T09:20:14;SPANISH
3;2020-12-08T05:11:08;2020-12-07T15:45:17;FRENCH
4;2020-12-07T20:28:39;2020-12-08T08:00:05;FRENCH
5;2020-12-08T05:58:57;2020-12-08T10:45:56;FRENCH
6;2020-12-07T23:51:18;2020-12-08T11:59:32;FRENCH
7;2020-12-08T01:36:38;2020-12-07T19:27:29;FRENCH
8;2020-12-08T00:32:51;2020-12-08T10:48:59;SPANISH
9;2020-12-07T23:14:00;2020-12-07T19:55:23;SPANISH
10;2020-12-08T07:26:04;2020-12-07T18:00:34;SPANISH
